graph_type,param,V,E,vbs_size,sp_size,sp_ratio,sp_valid,sp_time,dg_size,dg_ratio,dg_valid,dg_time,sa_size,sa_ratio,sa_valid,sa_time,sp_lt_dg,sp_eq_dg,sp_gt_dg
ER,0.0003,50000,375748,38101,38101,1.0,True,0.36169324594084173,39213,1.029185585680166,True,5.168529100017622,39266,1.0305766252854256,True,25.2631350470474,1,0,0
ER,0.0003,50000,375366,38122,38122,1.0,True,0.39801657700445503,39203,1.0283563296784008,True,5.135671711992472,39242,1.0293793609988984,True,25.137008400983177,1,0,0
ER,0.0003,50000,375930,38150,38150,1.0,True,0.35398234997410327,39222,1.028099606815203,True,5.068075619987212,39239,1.0285452162516382,True,24.161751142004505,1,0,0
ER,0.0003,50000,374876,38120,38120,1.0,True,0.3672276079887524,39161,1.027308499475341,True,5.087316753924824,39161,1.027308499475341,True,24.09854988299776,1,0,0
ER,0.0003,50000,374777,38169,38169,1.0,True,0.3737442890414968,39181,1.0265136629201708,True,5.11680883995723,39276,1.0290025937278944,True,24.667650284944102,1,0,0
ER,0.0003,50000,375238,38126,38126,1.0,True,0.35322415200062096,39180,1.0276451765199601,True,5.112891791970469,39391,1.0331794575879978,True,25.294103647000156,1,0,0
ER,0.0003,50000,374209,38129,38129,1.0,True,0.3650183890713379,39194,1.0279314957119252,True,5.162836197996512,39315,1.0311049332529045,True,24.095262174960226,1,0,0
ER,0.0003,50000,375740,38102,38102,1.0,True,0.38374765496701,39139,1.0272164190856123,True,5.1212779129855335,39156,1.0276625898902945,True,24.96393403003458,1,0,0
ER,0.0003,50000,374890,38105,38105,1.0,True,0.35923364595510066,39197,1.028657656475528,True,5.118556407978758,39218,1.0292087652539037,True,23.810814569937065,1,0,0
ER,0.0001,100000,751061,76290,76290,1.0,True,0.9661131510511041,78419,1.0279066719098178,True,20.28900963405613,78679,1.0313147201468083,True,63.40652295900509,1,0,0
ER,0.0001,100000,749359,76212,76212,1.0,True,1.8493692630436271,78386,1.0285256914921534,True,20.43624496809207,78652,1.0320159554925734,True,64.01455903600436,1,0,0
ER,0.0001,100000,749821,76204,76204,1.0,True,0.9464244060218334,78440,1.0293422917432156,True,20.47171288309619,78440,1.0293422917432156,True,57.35276158794295,1,0,0
ER,0.0001,100000,749703,76226,76226,1.0,True,0.9469959168927744,78354,1.0279169837063469,True,20.135665145004168,78519,1.0300815994542545,True,63.76016106107272,1,0,0
ER,0.0001,100000,750115,76227,76227,1.0,True,0.9555150170344859,78359,1.027969092316371,True,20.42923967796378,78359,1.027969092316371,True,63.90317651396617,1,0,0
ER,0.0001,100000,751204,76268,76268,1.0,True,1.0117392010288313,78433,1.0283867414905334,True,20.305432880995795,78646,1.0311795248334819,True,61.72394710103981,1,0,0
ER,0.0001,100000,749903,76229,76229,1.0,True,1.0558732319623232,78340,1.027692872791195,True,20.247047177981585,78371,1.028099542168991,True,62.40183213900309,1,0,0
ER,0.0001,100000,748945,76234,76234,1.0,True,0.9695695959962904,78332,1.027520528897867,True,20.43808521493338,78343,1.027664821470735,True,62.24578137008939,1,0,0
ER,0.0001,100000,748689,76175,76175,1.0,True,0.9746203779941425,78340,1.0284213980964882,True,20.374071632977575,78497,1.0304824417459797,True,61.21152841299772,1,0,0
ER,0.0001,100000,750012,76282,76282,1.0,True,1.4414577829884365,78344,1.02703127867649,True,20.31923728901893,78347,1.0270706064340211,True,58.77151033899281,1,0,0
REG,3.0,1000,1500,564,564,1.0,True,0.0008266409859061241,623,1.1046099290780143,True,0.001014515059068799,680,1.2056737588652482,True,0.03522738197352737,1,0,0
REG,3.0,1000,1500,565,565,1.0,True,0.0007193650817498565,613,1.0849557522123894,True,0.0009311240864917636,639,1.1309734513274337,True,0.032720708986744285,1,0,0
REG,3.0,1000,1500,563,563,1.0,True,0.0008809779537841678,612,1.0870337477797514,True,0.001097066910006106,748,1.3285968028419184,True,0.034242619993165135,1,0,0
REG,3.0,1000,1500,565,565,1.0,True,0.0007257910910993814,609,1.0778761061946902,True,0.000980081968009472,740,1.3097345132743363,True,0.033511940971948206,1,0,0
REG,3.0,1000,1500,565,565,1.0,True,0.0008207049686461687,618,1.0938053097345133,True,0.0010945519898086786,638,1.129203539823009,True,0.03437573800329119,1,0,0
REG,4.0,1000,2000,602,602,1.0,True,0.0008421459933742881,652,1.0830564784053156,True,0.0011146659962832928,652,1.0830564784053156,True,0.03892422094941139,1,0,0
REG,4.0,1000,2000,610,610,1.0,True,0.0008457779185846448,660,1.0819672131147542,True,0.0011900250101462007,672,1.1016393442622952,True,0.03880374401342124,1,0,0
REG,4.0,1000,2000,604,604,1.0,True,0.0008242669282481074,654,1.0827814569536425,True,0.0011255620047450066,773,1.2798013245033113,True,0.03861803701147437,1,0,0
REG,4.0,1000,2000,607,607,1.0,True,0.0008252440020442009,660,1.0873146622734762,True,0.0011771050048992038,737,1.2141680395387149,True,0.03885207499843091,1,0,0
REG,4.0,1000,2000,603,603,1.0,True,0.0008267810335382819,661,1.0961857379767828,True,0.001101955072954297,692,1.1475953565505805,True,0.039848291082307696,1,0,0
REG,3.0,2000,3000,1126,1126,1.0,True,0.0011896060314029455,1226,1.088809946714032,True,0.0031251879408955574,1298,1.152753108348135,True,0.0895099799381569,1,0,0
REG,3.0,2000,3000,1121,1121,1.0,True,0.00135359400883317,1231,1.0981266726137378,True,0.0030904070008546114,1241,1.1070472792149866,True,0.2084839689778164,1,0,0
REG,3.0,2000,3000,1123,1123,1.0,True,0.001392075908370316,1236,1.1006233303650934,True,0.003288756008259952,1237,1.101513802315227,True,0.0893029699800536,1,0,0
REG,3.0,2000,3000,1123,1123,1.0,True,0.0011986159952357411,1241,1.1050756901157615,True,0.003358807065524161,1261,1.1228851291184327,True,0.08613496890757233,1,0,0
REG,3.0,2000,3000,1121,1121,1.0,True,0.0012102100299671292,1243,1.1088314005352364,True,0.0032245019683614373,1398,1.247100802854594,True,0.09139548405073583,1,0,0
REG,4.0,2000,4000,1209,1209,1.0,True,0.0015313400654122233,1306,1.0802315963606286,True,0.00361295894253999,1440,1.1910669975186103,True,0.11334778601303697,1,0,0
REG,4.0,2000,4000,1215,1215,1.0,True,0.0015196070307865739,1323,1.0888888888888888,True,0.003784558968618512,1394,1.1473251028806584,True,0.1127216590102762,1,0,0
REG,4.0,2000,4000,1213,1213,1.0,True,0.0016409900272265077,1313,1.0824402308326464,True,0.00379992404486984,1317,1.085737840065952,True,0.1052633780054748,1,0,0
REG,4.0,2000,4000,1209,1209,1.0,True,0.0016216449439525604,1316,1.088502894954508,True,0.0038959559751674533,1327,1.097601323407775,True,0.1067315109539777,1,0,0
REG,4.0,2000,4000,1201,1201,1.0,True,0.001515137031674385,1316,1.0957535387177353,True,0.0037721280241385102,1498,1.2472939217318901,True,0.11154595098923892,1,0,0
