instance_id,graph_type,num_nodes,is_optimal,step,vertex,prob,delta,spectral_gap,n_active
56,ER,9,True,5,6,9.999666671134388e-05,4.9997708366000815e-05,0.9999999999999999,3
57,ER,9,True,0,0,1.4880789028892671e-05,1.7005566099737024e-07,0.9013945612251707,9
57,ER,9,True,1,6,1.7777584620515263e-05,2.220446049250313e-16,0.882640090353462,8
57,ER,9,True,2,4,2.166640004785947e-05,3.333153981710524e-07,0.855051025721682,7
57,ER,9,True,3,7,2.916626808746603e-05,4.440892098500626e-16,0.8104235651970519,6
57,ER,9,True,4,1,4.166596836963077e-05,5.5554018785208825e-06,0.7257081148225679,5
57,ER,9,True,5,3,7.49980208569756e-05,2.220446049250313e-16,0.49999999999999994,4
57,ER,9,True,6,8,9.999666671134388e-05,2.220446049250313e-16,2.0,2
58,ER,9,True,0,3,1.625833181317926e-05,0.0,0.8879252488762113,9
58,ER,9,True,1,5,1.960295364111797e-05,4.440892098500626e-16,0.8628540574112833,8
58,ER,9,True,2,8,2.4721904627988955e-05,2.220446049250313e-16,0.8231125379027314,7
58,ER,9,True,3,6,3.666609641628238e-05,4.583209230801799e-06,0.7499999999999998,6
58,ER,9,True,4,1,6.110979682316664e-05,4.440892098500626e-16,0.5657414540893354,5
